PROCESSO_1;Processo_2;N2_id;N2;N3_id;N3
Atendimento;Falha Operacional;1;ATENDIMENTO;1;BAD CALL
Atendimento;Falha Operacional;1;ATENDIMENTO;2;LIGACAO MUDA/ COM RUIDO
Atendimento;Falha Operacional;1;ATENDIMENTO;3;QUEDA DE LIGACAO
Atendimento;Falha Operacional;1;ATENDIMENTO;4;SISTEMA INOPERANTE
Atendimento;Falha Operacional;2;CONTEUDO;5;CRACKLE
Atendimento;Falha Operacional;3;NAO FAZ E NAO RECEBE LIGACAO;6;PROBLEMA REDE/COBERTURA
Atendimento;Falha Operacional;4;NAO FUNCIONAMENTO CLIR/IDENTIFICADOR DE CHAMADAS;7;PROBLEMA REDE/COBERTURA
Atendimento;Falha Operacional;5;QUEDA DE CHAMADA;8;PROBLEMA REDE/COBERTURA
Atendimento;Serviços Atendimento;1;ATENDIMENTO;9;FALAR COM OUVIDORIA
Atendimento;Serviços Atendimento;1;ATENDIMENTO;10;POSTURA DE ATENDIMENTO DO OPERADOR
Atendimento;Serviços Atendimento;1;ATENDIMENTO;11;POSTURA DE ATENDIMENTO DO TECNICO
Atendimento;Serviços Atendimento;1;ATENDIMENTO;12;PROTOCOLO DE ATENDIMENTO
Atendimento;Serviços Atendimento;6;RECARGA/SALDO;13;PONTOS DE VENDAS
CCC-Cobrança;Cobrança e Régua;7;CONTA;14;DEBITOS, COMUNICADO DE COBRANCA OU NEGATIVACAO
CCC-Cobrança;Cobrança e Régua;7;CONTA;15;NEGATIVADO INDEVIDAMENTE
CCC-Cobrança;Cobrança e Régua;7;CONTA;16;TERMO DE QUITACAO
CCC-Cobrança;Informe Pgto e Religa;7;CONTA;17;AVISO DE PAGAMENTO COM BLOQUEIO
CCC-Cobrança;Informe Pgto e Religa;7;CONTA;18;AVISO DE PAGAMENTO COM BLOQUEIO INDEVIDO
CCC-Cobrança;Informe Pgto e Religa;7;CONTA;19;AVISO DE PAGAMENTO FORA DO PRAZO
CCC-Cobrança;Informe Pgto e Religa;7;CONTA;20;AVISO DE PAGAMENTO PARA ENTRADA DE PARCELAMENTO
CCC-Cobrança;Informe Pgto e Religa;7;CONTA;21;AVISO DE PAGAMENTO SEM BLOQUEIO
CCC-Cobrança;Parcelamento;7;CONTA;22;NAO RECEBEU ENTRADA PARCELAMENTO
CCC-Cobrança;Parcelamento;7;CONTA;23;PARCELAMENTO
CCC-Cobrança;Parcelamento;7;CONTA;24;PARCELAMENTO - CANCELAR OU ANTECIPAR
CCC-Cobrança;Parcelamento;7;CONTA;25;PARCELAMENTO - NAO PAGOU ENTRADA
CCC-Cobrança;Parcelamento;7;CONTA;26;PARCELAMENTO - PROPOSTA ESCRITORIO DE COBRANCA
CCC-Cobrança;Parcelamento;8;CONTESTACAO PROCEDENTE;27;PARCELAMENTO
