"doc_id","text"
"s1000.nmf","Boa noite eu sou especialista José com quem eu falo olá boa noite eu sou especial do seu José é assaltado bem tudo bem o número para atendimento 672 52129-790 ligação cair não tente me ligar que eu te retorno favor o nome completo do titular da lin"
"s1001.nmf","rendimento Oi boa noite meu nome é quer dizer com quem falo eu quero cancelar uma linha fixa da TIM é o DDD (21) 2286-4470 se não for a minha mãe tá dormindo e Celeste Afonso para que é porque ele falou que a minha mãe está doente confecção e ela"
"s1002.nmf","atendimento Oi boa noite de minha que está falando com quem eu falo quem Thiago Silva Boa noite O Diogo não posso lhe ajudar tel 21376-3907 eu já ligou aqui hoje eu já ligou aqui hoje é utilizado para transferir acabei entendeu ligando de novo para fa"
"s1003.nmf","segmento oi Janaína boa noite Bia fala boa noite Bia fala Osvaldo Costa do que já liguei duas vezes aqui o rei do teclado do celular de r$ 5 dia quando que foi isso solicitou a troca de plano recarga mesmo celular  ele me garantiu que é daqui do telefon"
"s1004.nmf","atendimento Oi boa noite meu nome é com quem eu falo por gentileza Lourivaldo Boa noite eu queria falar mais alto por favor só um momento do seu Florisvaldo que o Vasco de falta aqui no sistema do Rio de Janeiro Oswaldo Anunciação de Jesus Quais são o"
"s1005.nmf","atendimento especializado Leonardo Boa noite com quem eu falo com quem eu falo fala com o Leonardo que eu falo com Jonathan que eu posso ajudar vou entregar se fala aí é um técnico especializado já vai direto tá Tá Ok só não entrou transferindo "
"s1006.nmf","atendimento especializado da Oi Pedro boa noite com quem eu falo do plano fixo móvel é fixo ou Velox fixo ou Heloísa ou Heloísa "
"s1007.nmf","atendimento Oi boa noite meu nome é Isabele com quem eu falo no WhatsApp está falando com a Lace José de Oliveira troca de oito e 9 horas o próximo número 3555-9396 O que é bom para baixar o Avast quando ele tá muito sobrecarregado tem muito cliente"
"s1008.nmf","você sabe que a Tainara boa noite com quem eu falo eu já empurrei o pagamento da conta de telefone Já pedi já pedi para desbloquear e tá demorando muito eu queria ver que que tá acontecendo a todo mundo e o trem tá bloqueado cheguei do serviço agor"
"s1009.nmf","rendimentos cristalizado Oi boa noite meu nome é Giovani com quem eu falo 3638-7319 porque eu não eu não tô aquela dos serviços de internet entendeu acabei de pagar uma conta em atraso mas aí tem essa de r$ 160 mas a utilização da internet aqui em "
