"","key_0","term","count","marca"
"1","s1000.nmf","assaltado",1,1
"2","s1000.nmf","atendimento",1,1
"3","s1000.nmf","bem",2,1
"4","s1000.nmf","boa",2,1
"5","s1000.nmf","cair",1,1
"6","s1000.nmf","com",1,1
"7","s1000.nmf","completo",1,1
"8","s1000.nmf","especial",1,1
"9","s1000.nmf","especialista",1,1
"10","s1000.nmf","falo",1,1
"11","s1000.nmf","favor",1,1
"12","s1000.nmf","josÃ",2,1
"13","s1000.nmf","ligar",1,1
"14","s1000.nmf","ligaÃ",1,1
"15","s1000.nmf","lin",1,1
"16","s1000.nmf","mero",1,1
"17","s1000.nmf","noite",2,1
"18","s1000.nmf","nome",1,1
"19","s1000.nmf","olÃ",1,1
"20","s1000.nmf","para",1,1
"21","s1000.nmf","que",1,1
"22","s1000.nmf","quem",1,1
"23","s1000.nmf","retorno",1,1
"24","s1000.nmf","seu",1,1
"25","s1000.nmf","sou",2,1
"26","s1000.nmf","tente",1,1
"27","s1000.nmf","titular",1,1
"28","s1000.nmf","tudo",1,1
"29","s1001.nmf","afonso",1,1
"30","s1001.nmf","boa",1,1
"31","s1001.nmf","cancelar",1,1
"32","s1001.nmf","celeste",1,1
"33","s1001.nmf","com",1,1
"34","s1001.nmf","confecÃ",1,1
"35","s1001.nmf","ddd",1,1
"36","s1001.nmf","dizer",1,1
"37","s1001.nmf","doente",1,1
"38","s1001.nmf","dormindo",1,1
"39","s1001.nmf","ela",1,1
"40","s1001.nmf","ele",1,1
"41","s1001.nmf","estÃ",1,1
"42","s1001.nmf","falo",1,1
"43","s1001.nmf","falou",1,1
"44","s1001.nmf","fixa",1,1
"45","s1001.nmf","for",1,1
"46","s1001.nmf","linha",1,1
"47","s1001.nmf","meu",1,1
"48","s1001.nmf","minha",2,1
"49","s1001.nmf","noite",1,1
"50","s1001.nmf","nome",1,1
"51","s1001.nmf","para",1,1
"52","s1001.nmf","porque",1,1
"53","s1001.nmf","que",2,1
"54","s1001.nmf","quem",1,1
"55","s1001.nmf","quer",1,1
"56","s1001.nmf","quero",1,1
"57","s1001.nmf","rendimento",1,1
"58","s1001.nmf","tim",1,1
"59","s1001.nmf","uma",1,1
"60","s1002.nmf","acabei",1,1
"61","s1002.nmf","ajudar",1,1
"62","s1002.nmf","aqui",2,1
"63","s1002.nmf","atendimento",1,1
"64","s1002.nmf","boa",2,1
"65","s1002.nmf","com",1,1
"66","s1002.nmf","diogo",1,1
"67","s1002.nmf","entendeu",1,1
"68","s1002.nmf","estÃ",1,1
"69","s1002.nmf","falando",1,1
"70","s1002.nmf","falo",1,1
"71","s1002.nmf","hoje",2,1
"72","s1002.nmf","lhe",1,1
"73","s1002.nmf","ligando",1,1
"74","s1002.nmf","ligou",2,1
"75","s1002.nmf","minha",1,1
"76","s1002.nmf","noite",2,1
"77","s1002.nmf","novo",1,1
"78","s1002.nmf","para",2,1
"79","s1002.nmf","posso",1,1
"80","s1002.nmf","que",1,1
"81","s1002.nmf","quem",2,1
"82","s1002.nmf","silva",1,1
